年月日,全国地方公共団体コード,市区名,年齢［歳］,人口総数［人］,男［人］,女［人］
2016/1/1,141097,港北区,総数,344318,174455,169863
2016/1/1,141097,港北区,0,3398,1755,1643
2016/1/1,141097,港北区,1,3291,1673,1618
2016/1/1,141097,港北区,2,3140,1603,1537
2016/1/1,141097,港北区,3,2960,1520,1440
2016/1/1,141097,港北区,4,2954,1532,1422
2016/1/1,141097,港北区,5,2817,1468,1349
2016/1/1,141097,港北区,6,2702,1288,1414
2016/1/1,141097,港北区,7,2695,1409,1286
2016/1/1,141097,港北区,8,2634,1315,1319
2016/1/1,141097,港北区,9,2673,1402,1271
2016/1/1,141097,港北区,10,2444,1207,1237
2016/1/1,141097,港北区,11,2683,1352,1331
2016/1/1,141097,港北区,12,2673,1360,1313
2016/1/1,141097,港北区,13,2713,1378,1335
2016/1/1,141097,港北区,14,2677,1377,1300
2016/1/1,141097,港北区,15,2868,1453,1415
2016/1/1,141097,港北区,16,2864,1463,1401
2016/1/1,141097,港北区,17,2840,1423,1417
2016/1/1,141097,港北区,18,2991,1567,1424
2016/1/1,141097,港北区,19,3509,1954,1555
2016/1/1,141097,港北区,20,3743,2072,1671
2016/1/1,141097,港北区,21,3899,2182,1717
2016/1/1,141097,港北区,22,3730,1982,1748
2016/1/1,141097,港北区,23,4052,2137,1915
2016/1/1,141097,港北区,24,4143,2156,1987
2016/1/1,141097,港北区,25,4209,2121,2088
2016/1/1,141097,港北区,26,4556,2347,2209
2016/1/1,141097,港北区,27,4848,2495,2353
2016/1/1,141097,港北区,28,5068,2684,2384
2016/1/1,141097,港北区,29,5363,2827,2536
2016/1/1,141097,港北区,30,5629,2859,2770
2016/1/1,141097,港北区,31,5601,2981,2620
2016/1/1,141097,港北区,32,5599,2883,2716
2016/1/1,141097,港北区,33,5489,2875,2614
2016/1/1,141097,港北区,34,5444,2844,2600
2016/1/1,141097,港北区,35,5614,2961,2653
2016/1/1,141097,港北区,36,5663,2979,2684
2016/1/1,141097,港北区,37,5832,3027,2805
2016/1/1,141097,港北区,38,5662,2939,2723
2016/1/1,141097,港北区,39,5920,3076,2844
2016/1/1,141097,港北区,40,6047,3107,2940
2016/1/1,141097,港北区,41,6294,3291,3003
2016/1/1,141097,港北区,42,6245,3216,3029
2016/1/1,141097,港北区,43,6187,3192,2995
2016/1/1,141097,港北区,44,6189,3150,3039
2016/1/1,141097,港北区,45,6196,3205,2991
2016/1/1,141097,港北区,46,6080,3212,2868
2016/1/1,141097,港北区,47,5981,3161,2820
2016/1/1,141097,港北区,48,6126,3254,2872
2016/1/1,141097,港北区,49,4293,2262,2031
2016/1/1,141097,港北区,50,5620,3037,2583
2016/1/1,141097,港北区,51,5023,2626,2397
2016/1/1,141097,港北区,52,4704,2502,2202
2016/1/1,141097,港北区,53,4360,2281,2079
2016/1/1,141097,港北区,54,4245,2241,2004
2016/1/1,141097,港北区,55,4096,2125,1971
2016/1/1,141097,港北区,56,3813,2000,1813
2016/1/1,141097,港北区,57,3770,1942,1828
2016/1/1,141097,港北区,58,3309,1696,1613
2016/1/1,141097,港北区,59,3387,1733,1654
2016/1/1,141097,港北区,60,3444,1797,1647
2016/1/1,141097,港北区,61,3247,1637,1610
2016/1/1,141097,港北区,62,3426,1780,1646
2016/1/1,141097,港北区,63,3519,1746,1773
2016/1/1,141097,港北区,64,3647,1810,1837
2016/1/1,141097,港北区,65,3782,1872,1910
2016/1/1,141097,港北区,66,4347,2157,2190
2016/1/1,141097,港北区,67,4402,2195,2207
2016/1/1,141097,港北区,68,4230,2076,2154
2016/1/1,141097,港北区,69,2879,1370,1509
2016/1/1,141097,港北区,70,2704,1288,1416
2016/1/1,141097,港北区,71,3103,1450,1653
2016/1/1,141097,港北区,72,3317,1543,1774
2016/1/1,141097,港北区,73,3072,1405,1667
2016/1/1,141097,港北区,74,3031,1367,1664
2016/1/1,141097,港北区,75,2815,1283,1532
2016/1/1,141097,港北区,76,2387,1094,1293
2016/1/1,141097,港北区,77,2265,991,1274
2016/1/1,141097,港北区,78,2385,1046,1339
2016/1/1,141097,港北区,79,2238,955,1283
2016/1/1,141097,港北区,80,2329,1011,1318
2016/1/1,141097,港北区,81,1899,781,1118
2016/1/1,141097,港北区,82,1837,757,1080
2016/1/1,141097,港北区,83,1658,663,995
2016/1/1,141097,港北区,84,1590,591,999
2016/1/1,141097,港北区,85,1369,501,868
2016/1/1,141097,港北区,86,1278,438,840
2016/1/1,141097,港北区,87,1140,394,746
2016/1/1,141097,港北区,88,967,345,622
2016/1/1,141097,港北区,89,860,307,553
2016/1/1,141097,港北区,90,805,237,568
2016/1/1,141097,港北区,91,582,179,403
2016/1/1,141097,港北区,92,426,121,305
2016/1/1,141097,港北区,93,366,93,273
2016/1/1,141097,港北区,94,300,75,225
2016/1/1,141097,港北区,95,205,50,155
2016/1/1,141097,港北区,96,149,24,125
2016/1/1,141097,港北区,97,102,15,87
2016/1/1,141097,港北区,98,73,17,56
2016/1/1,141097,港北区,99,61,16,45
2016/1/1,141097,港北区,100,107,20,87
2016/1/1,141097,港北区,年齢不詳,2420,1799,621
